Num_of_switch,IDs,Time
4,"1, 9, 3, 6",24.98963975906372
4,"1, 9, 3, 6",25.00427532196045
4,"1, 9, 3, 6",25.03253769874573
4,"1, 9, 3, 6",25.071914434432983
3,"1, 9, 6",25.09994077682495
3,"1, 9, 6",25.12407374382019
3,"1, 9, 6",25.140601634979248
3,"1, 9, 6",25.156238794326786
3,"1, 9, 6",25.17187118530273
2,"1, 6",25.17786741256714
2,"1, 6",25.183964252471924
2,"1, 6",25.188884019851685
2,"1, 6",25.19376254081726
2,"1, 6",25.199028491973877
2,"1, 6",26.111329317092896
2,"1, 6",26.121999740600586
2,"1, 6",26.14020347595215
2,"1, 6",26.159552335739136
2,"1, 6",26.173187494277954
